symbol,market,type,currency,name_en,name_cn,aliases
PC0000023-USD,crypto,crypto,USD,Tradable NA Neobank SSTL,,tradable-na-neobank-sstl
FEUSD-USD,crypto,crypto,USD,Felix feUSD,,felix-feusd
LISUSD-USD,crypto,crypto,USD,Lista USD,,helio-protocol-hay
USDX-USD,crypto,crypto,USD,USDX,,usdx
MYX-USD,crypto,crypto,USD,MYX Finance,,myx-finance
XPR-USD,crypto,crypto,USD,XPR Network,,proton
ZEN-USD,crypto,crypto,USD,Horizen,,zencash
BEAM-USD,crypto,crypto,USD,Beam,,beam-2
ORDI-USD,crypto,crypto,USD,ORDI,,ordinals
BANANAS31-USD,crypto,crypto,USD,Banana For Scale,,banana-for-scale-2
LBT-USD,crypto,crypto,USD,Law Blocks AI,,law-blocks
BSPX-USD,crypto,crypto,USD,Bending Spoons xStock,,bending-spoons-xstock
BAN-USD,crypto,crypto,USD,Comedian,,comedian
ELG-USD,crypto,crypto,USD,Escoin,,escoin-token
BAS-USD,crypto,crypto,USD,BNB Attestation Service,,bas
RAVE-USD,crypto,crypto,USD,RaveDAO,,ravedao
MF-ONE-USD,crypto,crypto,USD,Midas mF-ONE,,midas-mf-one
NXPC-USD,crypto,crypto,USD,Nexpace,,nexpace
TEMPLE-USD,crypto,crypto,USD,TempleDAO,,temple
MAG7.SSI-USD,crypto,crypto,USD,MAG7.ssi,,mag7-ssi
DGB-USD,crypto,crypto,USD,DigiByte,,digibyte
QTUM-USD,crypto,crypto,USD,Qtum,,qtum
IVVON-USD,crypto,crypto,USD,iShares Core S&P 500 ETF (Ondo Tokenized ETF),,ishares-core-s-p-500-etf-ondo-tokenized-etf
UPUMP-USD,crypto,crypto,USD,Unit Pump,,unit-pump
PLUME-USD,crypto,crypto,USD,Plume,,plume
RSC-USD,crypto,crypto,USD,ResearchCoin,,researchcoin
STAU-USD,crypto,crypto,USD,STAU,,stau
CFG-USD,crypto,crypto,USD,Centrifuge,,centrifuge-2
ORCA-USD,crypto,crypto,USD,Orca,,orca
ZRX-USD,crypto,crypto,USD,0x Protocol,,0x
NILA-USD,crypto,crypto,USD,MindWaveDAO,,mindwavedao
PRL-USD,crypto,crypto,USD,Pearl,,pearl-2
XAUM-USD,crypto,crypto,USD,Matrixdock Gold,,matrixdock-gold
COW-USD,crypto,crypto,USD,CoW Protocol,,cow-protocol
MUB-USD,crypto,crypto,USD,Micron Technology (bStocks Tokenized Stock),,micron-technology-bstock
RE-USD,crypto,crypto,USD,RE,,re
ADI-USD,crypto,crypto,USD,ADI,,adi-token
TBK-USD,crypto,crypto,USD,TronBank,,tronbank
ARKM-USD,crypto,crypto,USD,Arkham,,arkham
QRL-USD,crypto,crypto,USD,Quantum Resistant Ledger,,quantum-resistant-ledger
FXUSD-USD,crypto,crypto,USD,f(x) Protocol fxUSD,,f-x-protocol-fxusd
LPT-USD,crypto,crypto,USD,Livepeer,,livepeer
GMX-USD,crypto,crypto,USD,GMX,,gmx
CYDX-USD,crypto,crypto,USD,CyberDEX,,cyberdex
FDIT-USD,crypto,crypto,USD,Fidelity Digital Interest Token,,fidelity-digital-interest-token
WAL-USD,crypto,crypto,USD,Walrus,,walrus-2
COAI-USD,crypto,crypto,USD,ChainOpera AI,,chainopera-ai
QUBIC-USD,crypto,crypto,USD,Qubic,,qubic-network
CRCLB-USD,crypto,crypto,USD,Circle Internet Group (bStocks Tokenized Stock),,circle-internet-group-bstock
VELO-USD,crypto,crypto,USD,Velo,,velo
PC0000019-USD,crypto,crypto,USD,Tradable North America PoS Lender SSTN,,tradable-north-america-pos-lender-sstn
SWOP-USD,crypto,crypto,USD,Swop,,swop-2
SHX-USD,crypto,crypto,USD,Stronghold,,stronghold-token
REUR-USD,crypto,crypto,USD,Royal Euro,,royal-euro
AIOZ-USD,crypto,crypto,USD,AIOZ Network,,aioz-network
FONQ-USD,crypto,crypto,USD,FONQ,,fonq
TSLAX-USD,crypto,crypto,USD,Tesla xStock,,tesla-xstock
DOG-USD,crypto,crypto,USD,Dog (Bitcoin),,dog-go-to-the-moon-rune
NMR-USD,crypto,crypto,USD,Numeraire,,numeraire
