symbol,market,type,currency,name_en,name_cn,aliases
KAU-USD,crypto,crypto,USD,Kinesis Gold,,kinesis-gold
SPX-USD,crypto,crypto,USD,SPX6900,,spx6900
APXUSD-USD,crypto,crypto,USD,apxUSD,,apxusd
CARDS-USD,crypto,crypto,USD,Collector Crypt,,collector-crypt
LUNC-USD,crypto,crypto,USD,Terra Luna Classic,,terra-luna
OHM-USD,crypto,crypto,USD,Olympus,,olympus
SEI-USD,crypto,crypto,USD,Sei,,sei-network
GNO-USD,crypto,crypto,USD,Gnosis,,gnosis
CTOC-USD,crypto,crypto,USD,CTOC,,ctoc
LDO-USD,crypto,crypto,USD,Lido DAO,,lido-dao
NFT-USD,crypto,crypto,USD,AINFT,,apenft
BCN-USD,crypto,crypto,USD,Bytecoin,,bytecoin
ZRO-USD,crypto,crypto,USD,LayerZero,,layerzero
BTT-USD,crypto,crypto,USD,BitTorrent,,bittorrent
STX-USD,crypto,crypto,USD,Stacks,,blockstack
KAITO-USD,crypto,crypto,USD,KAITO,,kaito
BONK-USD,crypto,crypto,USD,Bonk,,bonk
BSV-USD,crypto,crypto,USD,Bitcoin SV,,bitcoin-cash-sv
ONYC-USD,crypto,crypto,USD,OnRe Tokenized Reinsurance,,onyc
JTO-USD,crypto,crypto,USD,Jito,,jito-governance-token
MON-USD,crypto,crypto,USD,Monad,,monad
REAL-USD,crypto,crypto,USD,RealLink,,reallink
AUSD-USD,crypto,crypto,USD,AUSD,,agora-dollar
BC-USD,crypto,crypto,USD,BCGame Coin,,bc-token
DEXE-USD,crypto,crypto,USD,DeXe,,dexe
PENDLE-USD,crypto,crypto,USD,Pendle,,pendle
DCR-USD,crypto,crypto,USD,Decred,,decred
Q-USD,crypto,crypto,USD,Quack AI,,quack-ai
KITE-USD,crypto,crypto,USD,Kite,,kite-2
IMX-USD,crypto,crypto,USD,Immutable,,immutable-x
CFX-USD,crypto,crypto,USD,Conflux,,conflux-token
XTZ-USD,crypto,crypto,USD,Tezos,,tezos
PIEVERSE-USD,crypto,crypto,USD,Pieverse,,pieverse
FRAX-USD,crypto,crypto,USD,Legacy Frax Dollar,,frax
JASMY-USD,crypto,crypto,USD,JasmyCoin,,jasmycoin
CRVUSD-USD,crypto,crypto,USD,crvUSD,,crvusd
APR-USD,crypto,crypto,USD,aPriori,,apriori
KOGE-USD,crypto,crypto,USD,KOGE,,bnb48-club-token
ULTIMA-USD,crypto,crypto,USD,Ultima,,ultima
GRASS-USD,crypto,crypto,USD,Grass,,grass
XPL-USD,crypto,crypto,USD,Plasma,,plasma
PC0000031-USD,crypto,crypto,USD,Tradable NA Rent Financing Platform SSTN,,tradable-na-rent-financing-platform-sstn
APEPE-USD,crypto,crypto,USD,Ape and Pepe,,ape-and-pepe
FLOKI-USD,crypto,crypto,USD,FLOKI,,floki
KAG-USD,crypto,crypto,USD,Kinesis Silver,,kinesis-silver
OP-USD,crypto,crypto,USD,Optimism,Optimism,optimism
SYRUP-USD,crypto,crypto,USD,Maple Finance,,syrup
VBILL-USD,crypto,crypto,USD,VanEck Treasury Fund,,vaneck-treasury-fund
2Z-USD,crypto,crypto,USD,DoubleZero,,doublezero
FF-USD,crypto,crypto,USD,Falcon Finance,,falcon-finance-ff
ZBCN-USD,crypto,crypto,USD,Zebec Network,,zebec-network
COCO-USD,crypto,crypto,USD,coco,,coco-2
USAT-USD,crypto,crypto,USD,USAT,,usa
PEANUT-USD,crypto,crypto,USD,Peanut,,peanut-2-2
WFI-USD,crypto,crypto,USD,WeFi,,wefi
BTW-USD,crypto,crypto,USD,Bitway,,bitway
ENS-USD,crypto,crypto,USD,Ethereum Name Service,,ethereum-name-service
REUSD-USD,crypto,crypto,USD,Re Protocol reUSD,,re-protocol-reusd
FGRS-USD,crypto,crypto,USD,FGRS (Figure Tokenized Stock),,fgrs-figure-tokenized-stock
VELVET-USD,crypto,crypto,USD,Velvet,,velvet
KAIA-USD,crypto,crypto,USD,Kaia,,kaia
STRK-USD,crypto,crypto,USD,Starknet,,starknet
TEL-USD,crypto,crypto,USD,Telcoin,,telcoin
VCNT-USD,crypto,crypto,USD,ViciCoin,,vicicoin
RAY-USD,crypto,crypto,USD,Raydium,,raydium
COMP-USD,crypto,crypto,USD,Compound,,compound-governance-token
B-USD,crypto,crypto,USD,BUILDon,,build-on
PC0000033-USD,crypto,crypto,USD,Tradable APAC Diversified Finance Provider SSTN,,tradable-apac-diversified-finance-provider-sstn
APYUSD-USD,crypto,crypto,USD,apyUSD,,apyusd
USDAI-USD,crypto,crypto,USD,USDai,,usdai
USTBL-USD,crypto,crypto,USD,Spiko US T-Bills Money Market Fund,,spiko-us-t-bills-money-market-fund
TWT-USD,crypto,crypto,USD,Trust Wallet,,trust-wallet-token
SAFO-USD,crypto,crypto,USD,Spiko Amundi Overnight Swap Fund,,safo
GRT-USD,crypto,crypto,USD,The Graph,,the-graph
EURCV-USD,crypto,crypto,USD,EUR CoinVertible,,societe-generale-forge-eurcv
IOTA-USD,crypto,crypto,USD,IOTA,,iota
XPIN-USD,crypto,crypto,USD,XPIN Network,,xpin-network
RUNE-USD,crypto,crypto,USD,THORChain,,thorchain
H-USD,crypto,crypto,USD,Humanity,,humanity
GUSD-USD,crypto,crypto,USD,GUSD,,gusd
BTSE-USD,crypto,crypto,USD,BTSE Token,,btse-token
MX-USD,crypto,crypto,USD,MX,,mx-token
ZANO-USD,crypto,crypto,USD,Zano,,zano
AXS-USD,crypto,crypto,USD,Axie Infinity,,axie-infinity
EARNETH-USD,crypto,crypto,USD,Lido Earn ETH,,lido-earn-eth
TAG-USD,crypto,crypto,USD,TAGGER,,tagger
BORG-USD,crypto,crypto,USD,SwissBorg,,swissborg
XEC-USD,crypto,crypto,USD,eCash,,ecash
WIF-USD,crypto,crypto,USD,dogwifhat,,dogwifcoin
LION-USD,crypto,crypto,USD,Loaded Lions,,loaded-lions
AKT-USD,crypto,crypto,USD,Akash Network,,akash-network
STRCX-USD,crypto,crypto,USD,Strategy PP Variable xStock,,strategy-pp-variable-xstock
EIGEN-USD,crypto,crypto,USD,EigenCloud (prev. EigenLayer),,eigenlayer
HOLO-USD,crypto,crypto,USD,Holoworld,,holoworld
CHZ-USD,crypto,crypto,USD,Chiliz,,chiliz
PC0000097-USD,crypto,crypto,USD,Tradable LatAm Fintech SSTN,,tradable-latam-fintech-sstn
VSN-USD,crypto,crypto,USD,Vision,,vision-3
APE-USD,crypto,crypto,USD,ApeCoin,,apecoin
MANA-USD,crypto,crypto,USD,Decentraland,,decentraland
CVX-USD,crypto,crypto,USD,Convex Finance,,convex-finance
FARTCOIN-USD,crypto,crypto,USD,Fartcoin,,fartcoin
SAND-USD,crypto,crypto,USD,The Sandbox,,the-sandbox
NEO-USD,crypto,crypto,USD,NEO,,neo
EDGE-USD,crypto,crypto,USD,edgeX,,edgex
JPYSC-USD,crypto,crypto,USD,JPYSC,,jpysc
META-USD,crypto,crypto,USD,MetaDAO,,meta-2-2
THETA-USD,crypto,crypto,USD,Theta Network,,theta-token
